adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,,0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}]",,259464,tt0211096,en,V-World Matrix,"Two friends take a cyber vacation to experience a world where they can act out their virtual fantasies! They soon realize they've entered a virtual free-for-all. Forbidden fantasies and desires suddenly appear in the form of the even deadlier ""dark woman"". All the players now end up in a cyber battle for their lives, and sanity, against a beautiful virtual hunter who has one killer fixation - winning the deadly game they started!",1.696,,[],[],1999-01-01,0,75.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Where forbidden fantasies become deadly reality,V-World Matrix,False,0.0,0
False,,"{'id': 182371, 'name': 'Armitage III Collection', 'poster_path': '/A2IWkK3H5IzwofleMlIvtcKlLOx.jpg', 'backdrop_path': '/LAhWYorSc7C45IZeteGiPUzUUd.jpg'}",0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",,21769,tt0303678,ja,アミテージ・ザ・サード DUAL-MATRIX,Naomi Armitage and Ross Sylibus have changed their names and live with their daughter Yoko as a happy and normal family on Mars — until an android riot breaks out at an anti-matter plant on Earth.,3.823,/p5nd9VPKxpow5MFAQfZy2DEatPI.jpg,"[{'id': 7776, 'logo_path': None, 'name': 'Pioneer LDC, Inc.', 'origin_country': 'JP'}, {'id': 5805, 'logo_path': '/jiTDwr7CelkRTSJt8or6WipN75c.png', 'name': 'Studio Aoi', 'origin_country': 'JP'}, {'id': 4690, 'logo_path': None, 'name': 'Anime International Company', 'origin_country': 'JP'}, {'id': 12105, 'logo_path': None, 'name': 'Jay Film Co., Ltd.', 'origin_country': 'JP'}]","[{'iso_3166_1': 'JP', 'name': 'Japan'}]",2002-03-22,0,90.0,"[{'iso_639_1': 'ja', 'name': '日本語'}]",Released,,Armitage: Dual Matrix,False,6.6,25
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,684431,tt0365467,en,Making 'The Matrix',"A promotional making-of documentary for the film Matrix, The (1999) that devotes its time to explaining the digital and practical effects contained in the film. This is very interesting, seeing as how they're giving away the cinematic secrets that they created solely for the this movie, that have now been spoofed and referenced in countless other films.",2.493,/m2yIfRJYwpCgHON1Ig1pNKMWTxp.jpg,[],[],1999-09-21,0,26.0,[],Released,,Making 'The Matrix',False,8.0,2
False,/a26L15v3ruoy22jFMgVjwpcraVh.jpg,,0,[],,141225,tt0970173,hu,Buhera mátrix,,1.197,/mSA91zntAssOuzGiakE3foA1MM0.jpg,[],"[{'iso_3166_1': 'HU', 'name': 'Hungary'}]",2007-03-29,0,81.0,"[{'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,,Buhera mátrix,False,0.0,0
False,,"{'id': 182371, 'name': 'Armitage III Collection', 'poster_path': '/A2IWkK3H5IzwofleMlIvtcKlLOx.jpg', 'backdrop_path': '/LAhWYorSc7C45IZeteGiPUzUUd.jpg'}",0,"[{'id': 16, 'name': 'Animation'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",,33322,tt0109151,ja,アミテージ・ザ・サード POLY-MATRIX,"Ross Sylibus is assigned to a police unit on a Martian colony, to find that women are being murdered by a psychotic named D'anclaude. He is assigned a very unorthodox partner named Naomi Armitage, who seems to have links to the victims. To stir things up more, every victim is found to be an illegally made third-generation android.",5.119,/7sUCRdjGe7VggDCGIHywfguYdAK.jpg,"[{'id': 4690, 'logo_path': None, 'name': 'Anime International Company', 'origin_country': 'JP'}, {'id': 12105, 'logo_path': None, 'name': 'Jay Film Co., Ltd.', 'origin_country': 'JP'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'JP', 'name': 'Japan'}]",1996-06-25,0,90.0,"[{'iso_639_1': 'ja', 'name': '日本語'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,Armitage III: Poly Matrix,False,6.7,26
False,,,0,[],,411948,tt5968306,en,Matrix,"John Whitney, Sr. (April 8, 1917 – September 22, 1995) was an American animator, composer and inventor, widely considered to be one of the fathers of computer animation.",0.6,,[],[],1971-05-18,0,6.0,[],Released,,Matrix,False,0.0,0
False,,,0,"[{'id': 99, 'name': 'Documentary'}, {'id': 878, 'name': 'Science Fiction'}]",,221495,tt0410519,en,The Matrix Recalibrated,"The making of Matrix Revolutions, The (2003) is briefly touched on here in this documentary. Interviews with various cast and crew members inform us how they were affected by the deaths of Gloria Foster and Aaliyah, and also delve into the making of the visual effects that takes up a lot of screen time. Written by Rhyl Donnelly",3.126,/gRni1Q651AZPnLqZczmahiIxG0s.jpg,"[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-04-06,0,27.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Recalibrated,False,6.7,24
False,,"{'id': 432207, 'name': 'The Sex Files', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 878, 'name': 'Science Fiction'}]",,51767,tt0224086,en,Sexual Matrix,"""Sexual Matrix"" is about a matrix that is sexual. A horny professor decides to ask his students all about their sexual fantasies. Of course he does. So while they're describing their wildest dreams, he plugs them into his matrix machine and it lets them live out their fantasies. It seems so real! Mia Zottoli shows up to assist the professor in his quest to know what turns the whole campus on",4.745,/vmhBIPKyYCWlp2PrIIc6EXZlP9Z.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2000-04-01,0,79.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Sexual Matrix,False,6.5,7
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",http://www.thelivingmatrixmovie.com/,119742,tt1499960,de,The Living Matrix,"Becker's documentary presents the arguments of the new-age practice of ""bio-energetic medicine.""  Presented as a medical documentary, The Living Matrix, promotes healing through energy reading and manipulation.  Director Greg Becker presents his arguments through anecdotal patient stories, and interviews with parapsychology professionals.",0.767,/ydEBvI3tAp719EbHvhBDUcU3k3V.jpg,[],[],2009-10-22,0,84.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Living Matrix,False,6.0,4
False,/lBdXACywnLwKUZmZkZ87djDQBeV.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,14543,tt0295432,en,The Matrix Revisited,The film goes behind the scenes of the 1999 sci-fi movie The Matrix.,9.096,/fNG2JOskhQnttmAaj2knM5h59Io.jpg,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-11-19,0,123.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Matrix Revisited,False,6.9,123
