Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Bad Boys for Life,"$419,074,646","$204,417,855",48.8%,"$214,656,791",51.2%
2,Sonic the Hedgehog,"$306,766,470","$146,066,470",47.6%,"$160,700,000",52.4%
3,Dolittle,"$223,343,452","$77,047,065",34.5%,"$146,296,387",65.5%
4,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
5,The Invisible Man,"$126,278,339","$64,914,050",51.4%,"$61,364,289",48.6%
6,The Gentlemen,"$114,996,853","$36,296,853",31.6%,"$78,700,000",68.4%
7,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
8,The Grudge,"$49,511,319","$21,221,803",42.9%,"$28,289,516",57.1%
9,Fantasy Island,"$47,315,959","$26,441,782",55.9%,"$20,874,177",44.1%
10,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
11,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
12,Bloodshot,"$29,169,577","$10,021,787",34.4%,"$19,147,790",65.6%
13,Emma.,"$25,155,355","$10,055,355",40%,"$15,100,000",60%
14,Gretel & Hansel,"$21,288,630","$15,347,654",72.1%,"$5,940,976",27.9%
15,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
16,The Turning,"$18,592,736","$15,472,775",83.2%,"$3,119,961",16.8%
17,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
18,La Belle Époque,"$13,770,064",-,-,"$13,770,064",100%
19,I Still Believe,"$10,940,855","$9,868,521",90.2%,"$1,072,334",9.8%
20,The Hunt,"$7,195,581","$5,812,500",80.8%,"$1,383,081",19.2%
21,Las Pildoras De Mi Novio,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
22,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
23,My Spy,"$5,126,062",-,-,"$5,126,062",100%
24,Trolls World Tour,"$5,121,198",-,-,"$5,121,198",100%
25,The Lodge,"$3,154,127","$2,138,907",67.8%,"$1,015,220",32.2%
26,The Last Full Measure,"$3,145,875","$2,949,212",93.7%,"$196,663",6.3%
27,The High Note,"$895,200",-,-,"$895,200",100%
28,The King of Staten Island,"$291,440",-,-,"$291,440",100%
29,Blind Eyes Opened,"$234,505","$234,505",100%,-,-
30,Burden,"$154,104","$139,270",90.4%,"$14,834",9.6%
31,"14 Days, 12 Nights","$122,806","$122,530",99.8%,$276,0.2%
32,First Cow,"$101,068","$101,068",100%,-,-
