question,votes,tags
What is the role of the bias in neural networks?,825,machine-learning neural-network artificial-intelligence backpropagation
What is the role of the bias in neural networks?,825,machine-learning neural-network artificial-intelligence backpropagation
What is the role of the bias in neural networks?,825,machine-learning neural-network artificial-intelligence backpropagation
What is the difference between a generative and a discriminative algorithm?,595,algorithm machine-learning difference
What is the difference between a generative and a discriminative algorithm?,595,algorithm machine-learning difference
What is the difference between a generative and a discriminative algorithm?,595,algorithm machine-learning difference
Tensorflow: how to save/restore a model?,566,python tensorflow machine-learning model
Tensorflow: how to save/restore a model?,566,python tensorflow machine-learning model
Tensorflow: how to save/restore a model?,566,python tensorflow machine-learning model
A simple explanation of Naive Bayes Classification,552,algorithm machine-learning dataset classification naivebayes
A simple explanation of Naive Bayes Classification,552,algorithm machine-learning dataset classification naivebayes
A simple explanation of Naive Bayes Classification,552,algorithm machine-learning dataset classification naivebayes
How does the Google “Did you mean?” Algorithm work?,438,algorithm machine-learning nlp spell-checking text-search
How does the Google “Did you mean?” Algorithm work?,438,algorithm machine-learning nlp spell-checking text-search
How does the Google “Did you mean?” Algorithm work?,438,algorithm machine-learning nlp spell-checking text-search
Epoch vs Iteration when training neural networks,417,machine-learning neural-network deep-learning artificial-intelligence terminology
Epoch vs Iteration when training neural networks,417,machine-learning neural-network deep-learning artificial-intelligence terminology
Epoch vs Iteration when training neural networks,417,machine-learning neural-network deep-learning artificial-intelligence terminology
What are advantages of Artificial Neural Networks over Support Vector Machines? [closed],383,machine-learning neural-network classification svm
What are advantages of Artificial Neural Networks over Support Vector Machines? [closed],383,machine-learning neural-network classification svm
What are advantages of Artificial Neural Networks over Support Vector Machines? [closed],383,machine-learning neural-network classification svm
"What is logits, softmax and softmax_cross_entropy_with_logits?",356,python machine-learning tensorflow
"What is logits, softmax and softmax_cross_entropy_with_logits?",356,python machine-learning tensorflow
"What is logits, softmax and softmax_cross_entropy_with_logits?",356,python machine-learning tensorflow
What is the difference between supervised learning and unsupervised learning? [closed],284,machine-learning artificial-intelligence supervised-learning unsupervised-learning
What is the difference between supervised learning and unsupervised learning? [closed],284,machine-learning artificial-intelligence supervised-learning unsupervised-learning
What is the difference between supervised learning and unsupervised learning? [closed],284,machine-learning artificial-intelligence supervised-learning unsupervised-learning
What is the meaning of the word logits in TensorFlow?,256,tensorflow machine-learning neural-network deep-learning cross-entropy
What is the meaning of the word logits in TensorFlow?,256,tensorflow machine-learning neural-network deep-learning cross-entropy
What is the meaning of the word logits in TensorFlow?,256,tensorflow machine-learning neural-network deep-learning cross-entropy
How to implement the Softmax function in Python,246,python numpy machine-learning logistic-regression softmax
How to implement the Softmax function in Python,246,python numpy machine-learning logistic-regression softmax
How to implement the Softmax function in Python,246,python numpy machine-learning logistic-regression softmax
What is the difference between linear regression and logistic regression?,244,machine-learning data-mining linear-regression
What is the difference between linear regression and logistic regression?,244,machine-learning data-mining linear-regression
What is the difference between linear regression and logistic regression?,244,machine-learning data-mining linear-regression
